Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2015/16

;;;;;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Söderhamn;2182;Gävleborgs län;21;Samtliga;265;75,1;81,5;219,9;76,5;82,7;220,5;
Söderhamn;2182;Gävleborgs län;21;Kommunal;251;75,3;81,7;221,1;76,8;82,9;221,7;
Söderhamn;2182;Gävleborgs län;21;Enskild;14;71,4;~100;198,5;71,4;~100;198,5;
Söderköping;0582;Östergötlands län;05;Samtliga;172;78,5;81,4;232,5;88,2;91,5;235,4;
Söderköping;0582;Östergötlands län;05;Kommunal;158;79,1;81,0;234,5;89,9;92,1;237,8;
Söderköping;0582;Östergötlands län;05;Enskild;14;71,4;~100;211,6;71,4;~100;211,6;
Södertälje;0181;Stockholms län;01;Samtliga;1 130;73,4;83,0;224,2;74,6;84,4;226,4;
Södertälje;0181;Stockholms län;01;Kommunal;880;70,2;80,5;218,3;71,8;82,2;221,0;
Södertälje;0181;Stockholms län;01;Enskild;250;84,4;92,0;244,8;84,4;92,0;244,8;
Sölvesborg;1083;Blekinge län;10;Samtliga;196;63,8;75,0;215,9;70,2;82,6;215,9;
Sölvesborg;1083;Blekinge län;10;Kommunal;196;63,8;75,0;215,9;70,2;82,6;215,9;
Tanum;1435;Västra Götalands län;14;Samtliga;133;69,2;77,4;207,6;82,1;92,0;225,3;
Tanum;1435;Västra Götalands län;14;Kommunal;133;69,2;77,4;207,6;82,1;92,0;225,3;
Tibro;1472;Västra Götalands län;14;Samtliga;124;68,5;78,2;204,5;71,6;81,9;206,9;
Tibro;1472;Västra Götalands län;14;Kommunal;124;68,5;78,2;204,5;71,6;81,9;206,9;
Tidaholm;1498;Västra Götalands län;14;Samtliga;144;72,9;83,3;210,6;73,9;83,8;211,9;
Tidaholm;1498;Västra Götalands län;14;Kommunal;144;72,9;83,3;210,6;73,9;83,8;211,9;
Tierp;0360;Uppsala län;03;Samtliga;197;59,4;78,2;195,3;63,2;83,2;204,8;
Tierp;0360;Uppsala län;03;Kommunal;197;59,4;78,2;195,3;63,2;83,2;204,8;
Timrå;2262;Västernorrlands län;22;Samtliga;210;70,0;81,0;207,3;72,1;83,3;208,2;
Timrå;2262;Västernorrlands län;22;Kommunal;210;70,0;81,0;207,3;72,1;83,3;208,2;
Tingsryd;0763;Kronobergs län;07;Samtliga;153;62,7;73,2;204,0;72,7;84,8;211,0;
Tingsryd;0763;Kronobergs län;07;Kommunal;119;54,6;68,1;193,6;66,3;82,7;202,5;
Tingsryd;0763;Kronobergs län;07;Enskild;34;91,2;~100;236,3;91,2;~100;236,3;
Tjörn;1419;Västra Götalands län;14;Samtliga;165;73,9;80,0;218,6;81,3;88,0;222,6;
Tjörn;1419;Västra Götalands län;14;Kommunal;165;73,9;80,0;218,6;81,3;88,0;222,6;
Tomelilla;1270;Skåne län;12;Samtliga;108;69,4;85,2;208,9;69,4;85,2;208,9;
Tomelilla;1270;Skåne län;12;Kommunal;108;69,4;85,2;208,9;69,4;85,2;208,9;
Torsby;1737;Värmlands län;17;Samtliga;147;68,0;76,2;200,0;77,5;86,8;219,3;
Torsby;1737;Värmlands län;17;Kommunal;147;68,0;76,2;200,0;77,5;86,8;219,3;
Torsås;0834;Kalmar län;08;Samtliga;80;48,8;62,5;191,0;61,9;77,8;195,0;
Torsås;0834;Kalmar län;08;Kommunal;80;48,8;62,5;191,0;61,9;77,8;195,0;
Tranemo;1452;Västra Götalands län;14;Samtliga;155;62,6;78,7;205,8;64,7;81,3;210,1;
Tranemo;1452;Västra Götalands län;14;Kommunal;155;62,6;78,7;205,8;64,7;81,3;210,1;
Tranås;0687;Jönköpings län;06;Samtliga;203;78,8;89,7;233,5;80,4;91,5;238,0;
Tranås;0687;Jönköpings län;06;Kommunal;203;78,8;89,7;233,5;80,4;91,5;238,0;
Trelleborg;1287;Skåne län;12;Samtliga;445;74,6;82,0;228,4;79,4;87,3;231,0;
Trelleborg;1287;Skåne län;12;Kommunal;386;72,3;79,5;224,4;77,7;85,5;227,4;
Trelleborg;1287;Skåne län;12;Enskild;59;89,8;~100;252,8;89,8;~100;252,8;
Trollhättan;1488;Västra Götalands län;14;Samtliga;631;75,6;85,1;227,5;77,3;87,0;228,6;
Trollhättan;1488;Västra Götalands län;14;Kommunal;515;72,0;82,9;222,7;74,0;85,2;224,1;
Trollhättan;1488;Västra Götalands län;14;Enskild;116;91,4;94,8;248,2;91,4;94,8;248,2;
Trosa;0488;Södermanlands län;04;Samtliga;128;80,5;88,3;244,8;81,7;89,7;248,0;
Trosa;0488;Södermanlands län;04;Kommunal;128;80,5;88,3;244,8;81,7;89,7;248,0;
Tyresö;0138;Stockholms län;01;Samtliga;578;77,7;88,6;233,8;81,2;92,4;239,5;
Tyresö;0138;Stockholms län;01;Kommunal;523;77,4;87,8;230,7;81,3;92,0;237,0;
Tyresö;0138;Stockholms län;01;Enskild;55;80,0;~100;261,8;80,0;~100;261,8;
Täby;0160;Stockholms län;01;Samtliga;1 164;87,1;90,7;258,5;90,9;94,6;259,7;
Täby;0160;Stockholms län;01;Kommunal;514;81,1;85,2;249,0;89,3;93,8;251,3;
Täby;0160;Stockholms län;01;Enskild;650;91,8;95,1;265,4;92,0;95,2;265,8;
Töreboda;1473;Västra Götalands län;14;Samtliga;124;58,9;70,2;190,0;66,4;79,1;206,2;
Töreboda;1473;Västra Götalands län;14;Kommunal;124;58,9;70,2;190,0;66,4;79,1;206,2;
Uddevalla;1485;Västra Götalands län;14;Samtliga;627;70,2;79,4;200,7;77,0;87,2;214,4;
Uddevalla;1485;Västra Götalands län;14;Kommunal;540;66,9;77,0;195,3;74,6;86,0;211,0;
Uddevalla;1485;Västra Götalands län;14;Enskild;87;90,8;94,3;232,9;90,6;94,1;233,3;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;309;64,4;78,3;202,3;70,6;85,5;217,2;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;309;64,4;78,3;202,3;70,6;85,5;217,2;
Umeå;2480;Västerbottens län;24;Samtliga;1 178;79,8;87,1;235,0;83,4;91,0;237,6;
Umeå;2480;Västerbottens län;24;Kommunal;939;78,6;85,6;231,8;83,1;90,5;235,0;
Umeå;2480;Västerbottens län;24;Enskild;239;84,5;92,9;247,2;84,5;92,9;247,2;
Upplands Väsby;0114;Stockholms län;01;Samtliga;467;68,7;75,4;224,1;76,7;84,2;230,0;
Upplands Väsby;0114;Stockholms län;01;Kommunal;287;52,6;62,4;205,6;62,9;74,6;213,5;
Upplands Väsby;0114;Stockholms län;01;Enskild;180;94,4;96,1;249,2;95,5;97,2;251,5;
Upplands-Bro;0139;Stockholms län;01;Samtliga;296;68,9;79,7;225,7;77,0;89,1;231,9;
Upplands-Bro;0139;Stockholms län;01;Kommunal;281;69,4;79,0;224,4;78,0;88,8;230,9;
Upplands-Bro;0139;Stockholms län;01;Enskild;15;..;~100;247,3;..;~100;247,3;
Uppsala;0380;Uppsala län;03;Samtliga;2 289;74,0;82,4;230,5;82,3;91,5;240,6;
Uppsala;0380;Uppsala län;03;Kommunal;1 578;67,9;77,1;217,9;79,5;90,2;232,5;
Uppsala;0380;Uppsala län;03;Enskild;711;87,6;94,1;256,1;87,6;94,1;256,1;
Uppvidinge;0760;Kronobergs län;07;Samtliga;93;67,7;79,6;210,3;68,5;79,3;211,0;
Uppvidinge;0760;Kronobergs län;07;Kommunal;93;67,7;79,6;210,3;68,5;79,3;211,0;
Vadstena;0584;Östergötlands län;05;Samtliga;70;90,0;~100;239,6;90,0;~100;239,6;
Vadstena;0584;Östergötlands län;05;Kommunal;70;90,0;~100;239,6;90,0;~100;239,6;
Vaggeryd;0665;Jönköpings län;06;Samtliga;127;79,5;85,0;219,6;83,5;89,3;224,8;
Vaggeryd;0665;Jönköpings län;06;Kommunal;127;79,5;85,0;219,6;83,5;89,3;224,8;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;92;56,5;67,4;213,3;65,4;78,2;217,7;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;92;56,5;67,4;213,3;65,4;78,2;217,7;
Vallentuna;0115;Stockholms län;01;Samtliga;336;80,1;91,1;228,5;80,3;91,3;229,0;
Vallentuna;0115;Stockholms län;01;Kommunal;252;80,2;92,9;231,3;80,2;92,9;231,3;
Vallentuna;0115;Stockholms län;01;Enskild;84;79,8;85,7;219,8;80,7;86,7;221,8;
Vansbro;2021;Dalarnas län;20;Samtliga;62;77,4;82,3;225,6;77,4;82,3;225,6;
Vansbro;2021;Dalarnas län;20;Kommunal;62;77,4;82,3;225,6;77,4;82,3;225,6;
Vara;1470;Västra Götalands län;14;Samtliga;153;73,2;84,3;216,7;76,7;88,4;220,7;
Vara;1470;Västra Götalands län;14;Kommunal;153;73,2;84,3;216,7;76,7;88,4;220,7;
Varberg;1383;Hallands län;13;Samtliga;581;82,3;89,2;228,5;83,0;89,9;229,9;
Varberg;1383;Hallands län;13;Kommunal;558;81,9;89,1;228,1;82,6;89,9;229,6;
Varberg;1383;Hallands län;13;Enskild;23;91,3;~100;237,2;91,3;~100;237,2;
Vaxholm;0187;Stockholms län;01;Samtliga;96;86,5;91,7;239,8;87,4;92,6;239,8;
Vaxholm;0187;Stockholms län;01;Kommunal;96;86,5;91,7;239,8;87,4;92,6;239,8;
Vellinge;1233;Skåne län;12;Samtliga;444;87,4;91,7;254,2;92,2;96,7;259,4;
Vellinge;1233;Skåne län;12;Kommunal;312;85,3;90,1;251,8;92,0;97,2;259,4;
Vellinge;1233;Skåne län;12;Enskild;132;92,4;95,5;259,5;92,4;95,5;259,5;
Vetlanda;0685;Jönköpings län;06;Samtliga;296;67,9;76,7;194,8;75,0;84,7;210,9;
Vetlanda;0685;Jönköpings län;06;Kommunal;289;68,2;76,8;194,9;75,5;85,1;211,4;
Vetlanda;0685;Jönköpings län;06;Enskild;..;..;..;..;..;..;..;
Vilhelmina;2462;Västerbottens län;24;Samtliga;78;82,1;83,3;227,6;88,9;90,3;230,5;
Vilhelmina;2462;Västerbottens län;24;Kommunal;70;80,0;81,4;223,8;87,5;89,1;227,0;
Vilhelmina;2462;Västerbottens län;24;Enskild;..;..;..;..;..;..;..;
Vimmerby;0884;Kalmar län;08;Samtliga;168;75,0;84,5;212,4;75,4;85,0;213,4;
Vimmerby;0884;Kalmar län;08;Kommunal;168;75,0;84,5;212,4;75,4;85,0;213,4;
Vindeln;2404;Västerbottens län;24;Samtliga;41;63,4;82,9;202,4;63,4;82,9;202,4;
Vindeln;2404;Västerbottens län;24;Kommunal;41;63,4;82,9;202,4;63,4;82,9;202,4;
Vingåker;0428;Södermanlands län;04;Samtliga;106;52,8;67,0;175,9;64,7;78,8;189,5;
Vingåker;0428;Södermanlands län;04;Kommunal;106;52,8;67,0;175,9;64,7;78,8;189,5;
Vårgårda;1442;Västra Götalands län;14;Samtliga;112;75,9;80,4;214,9;76,6;81,1;216,7;
Vårgårda;1442;Västra Götalands län;14;Kommunal;112;75,9;80,4;214,9;76,6;81,1;216,7;
Vänersborg;1487;Västra Götalands län;14;Samtliga;410;75,9;83,4;221,8;76,6;84,0;222,0;
Vänersborg;1487;Västra Götalands län;14;Kommunal;338;72,8;81,7;214,8;73,7;82,3;215,0;
Vänersborg;1487;Västra Götalands län;14;Enskild;72;90,3;91,7;254,7;90,3;91,7;254,7;
Vännäs;2460;Västerbottens län;24;Samtliga;88;63,6;79,5;206,0;63,6;79,5;206,0;
Vännäs;2460;Västerbottens län;24;Kommunal;88;63,6;79,5;206,0;63,6;79,5;206,0;
Värmdö;0120;Stockholms län;01;Samtliga;409;78,0;85,1;226,2;82,4;89,7;236,4;
Värmdö;0120;Stockholms län;01;Kommunal;357;74,8;82,9;221,0;79,7;88,1;232,5;
Värmdö;0120;Stockholms län;01;Enskild;52;100,0;100,0;261,4;100,0;100,0;261,4;
Värnamo;0683;Jönköpings län;06;Samtliga;377;79,0;85,4;217,4;81,6;88,2;223,4;
Värnamo;0683;Jönköpings län;06;Kommunal;377;79,0;85,4;217,4;81,6;88,2;223,4;
Västervik;0883;Kalmar län;08;Samtliga;439;66,5;74,5;217,8;73,7;82,6;225,8;
Västervik;0883;Kalmar län;08;Kommunal;386;67,1;73,8;218,9;75,5;83,1;228,2;
Västervik;0883;Kalmar län;08;Enskild;53;62,3;79,2;210,2;62,3;79,2;210,2;
Västerås;1980;Västmanlands län;19;Samtliga;1 648;66,1;77,5;211,3;72,5;84,8;226,5;
Västerås;1980;Västmanlands län;19;Kommunal;1 192;60,8;72,7;197,8;69,0;82,5;218,1;
Västerås;1980;Västmanlands län;19;Enskild;456;80,0;89,9;245,6;80,4;90,3;245,6;
Växjö;0780;Kronobergs län;07;Samtliga;962;72,8;80,0;219,2;77,8;85,5;222,2;
Växjö;0780;Kronobergs län;07;Kommunal;803;70,6;77,6;215,0;76,4;83,9;218,5;
Växjö;0780;Kronobergs län;07;Enskild;159;83,6;92,5;238,6;84,2;93,0;239,2;
Ydre;0512;Östergötlands län;05;Samtliga;38;81,6;84,2;239,4;83,8;86,5;239,4;
Ydre;0512;Östergötlands län;05;Kommunal;38;81,6;84,2;239,4;83,8;86,5;239,4;
Ystad;1286;Skåne län;12;Samtliga;337;87,5;92,6;241,3;87,5;92,6;241,3;
Ystad;1286;Skåne län;12;Kommunal;246;85,8;91,9;237,2;85,8;91,9;237,2;
Ystad;1286;Skåne län;12;Enskild;91;92,3;94,5;252,3;92,3;94,5;252,3;
Åmål;1492;Västra Götalands län;14;Samtliga;146;65,1;80,8;211,4;65,5;81,4;212,3;
Åmål;1492;Västra Götalands län;14;Kommunal;146;65,1;80,8;211,4;65,5;81,4;212,3;
Ånge;2260;Västernorrlands län;22;Samtliga;114;67,5;69,3;212,8;79,4;81,4;220,5;
Ånge;2260;Västernorrlands län;22;Kommunal;107;65,4;67,3;212,6;77,8;80,0;220,9;
Ånge;2260;Västernorrlands län;22;Enskild;..;..;..;..;..;..;..;
Åre;2321;Jämtlands län;23;Samtliga;104;73,1;87,5;214,8;75,2;90,1;219,8;
Åre;2321;Jämtlands län;23;Kommunal;104;73,1;87,5;214,8;75,2;90,1;219,8;
Årjäng;1765;Värmlands län;17;Samtliga;116;72,4;81,0;211,4;75,7;84,7;211,4;
Årjäng;1765;Värmlands län;17;Kommunal;116;72,4;81,0;211,4;75,7;84,7;211,4;
Åsele;2463;Västerbottens län;24;Samtliga;33;81,8;81,8;217,6;81,8;81,8;217,6;
Åsele;2463;Västerbottens län;24;Kommunal;33;81,8;81,8;217,6;81,8;81,8;217,6;
Åstorp;1277;Skåne län;12;Samtliga;204;53,4;65,2;191,2;61,9;75,6;196,1;
Åstorp;1277;Skåne län;12;Kommunal;204;53,4;65,2;191,2;61,9;75,6;196,1;
Åtvidaberg;0561;Östergötlands län;05;Samtliga;127;73,2;87,4;211,8;73,8;88,1;212,8;
Åtvidaberg;0561;Östergötlands län;05;Kommunal;127;73,2;87,4;211,8;73,8;88,1;212,8;
Älmhult;0765;Kronobergs län;07;Samtliga;165;74,1;85,2;211,4;74,1;85,2;211,4;
Älmhult;0765;Kronobergs län;07;Kommunal;135;75,0;84,1;208,3;75,0;84,1;208,3;
Älmhult;0765;Kronobergs län;07;Enskild;30;70,0;~100;224,9;70,0;~100;224,9;
Älvdalen;2039;Dalarnas län;20;Samtliga;72;84,7;86,1;222,2;84,7;86,1;222,2;
Älvdalen;2039;Dalarnas län;20;Kommunal;72;84,7;86,1;222,2;84,7;86,1;222,2;
Älvkarleby;0319;Uppsala län;03;Samtliga;92;62,0;78,3;187,3;64,0;80,9;191,8;
Älvkarleby;0319;Uppsala län;03;Kommunal;58;58,6;75,9;180,9;60,7;78,6;185,9;
Älvkarleby;0319;Uppsala län;03;Enskild;34;67,6;82,4;197,9;69,7;84,8;201,7;
Älvsbyn;2560;Norrbottens län;25;Samtliga;100;63,0;72,0;209,0;72,1;82,6;209,1;
Älvsbyn;2560;Norrbottens län;25;Kommunal;100;63,0;72,0;209,0;72,1;82,6;209,1;
Ängelholm;1292;Skåne län;12;Samtliga;451;78,9;85,4;224,8;85,3;92,3;232,2;
Ängelholm;1292;Skåne län;12;Kommunal;451;78,9;85,4;224,8;85,3;92,3;232,2;
Öckerö;1407;Västra Götalands län;14;Samtliga;132;80,3;92,4;237,3;80,9;92,4;238,0;
Öckerö;1407;Västra Götalands län;14;Kommunal;113;82,3;94,7;241,2;82,3;94,7;241,2;
Öckerö;1407;Västra Götalands län;14;Enskild;19;68,4;~100;214,3;72,2;~100;218,1;
Ödeshög;0509;Östergötlands län;05;Samtliga;57;78,9;91,2;224,9;78,9;91,2;224,9;
Ödeshög;0509;Östergötlands län;05;Kommunal;57;78,9;91,2;224,9;78,9;91,2;224,9;
Örebro;1880;Örebro län;18;Samtliga;1 623;78,6;86,0;225,6;79,0;86,4;226,4;
Örebro;1880;Örebro län;18;Kommunal;1 189;74,3;82,8;215,1;74,8;83,4;216,1;
Örebro;1880;Örebro län;18;Enskild;434;90,3;94,5;254,0;90,3;94,5;254,0;
Örkelljunga;1257;Skåne län;12;Samtliga;125;56,0;72,0;190,8;64,2;82,6;206,7;
Örkelljunga;1257;Skåne län;12;Kommunal;116;55,2;70,7;186,8;64,0;82,0;203,8;
Örkelljunga;1257;Skåne län;12;Enskild;..;..;..;..;..;..;..;
Örnsköldsvik;2284;Västernorrlands län;22;Samtliga;543;81,4;88,0;226,5;83,4;90,2;228,5;
Örnsköldsvik;2284;Västernorrlands län;22;Kommunal;526;82,5;88,6;227,9;84,6;90,8;230,0;
Örnsköldsvik;2284;Västernorrlands län;22;Enskild;17;..;70,6;183,5;..;70,6;183,5;
Östersund;2380;Jämtlands län;23;Samtliga;564;76,1;85,6;227,8;78,1;88,0;231,6;
Östersund;2380;Jämtlands län;23;Kommunal;452;73,2;83,6;223,6;75,7;86,5;228,2;
Östersund;2380;Jämtlands län;23;Enskild;112;87,5;93,8;244,7;87,5;93,8;244,7;
Österåker;0117;Stockholms län;01;Samtliga;394;83,0;90,6;237,0;83,8;91,5;239,1;
Österåker;0117;Stockholms län;01;Kommunal;276;79,3;89,5;232,6;80,4;90,8;235,5;
Österåker;0117;Stockholms län;01;Enskild;118;91,5;93,2;247,2;91,5;93,2;247,2;
Östhammar;0382;Uppsala län;03;Samtliga;198;70,2;80,8;211,0;75,1;86,5;216,1;
Östhammar;0382;Uppsala län;03;Kommunal;198;70,2;80,8;211,0;75,1;86,5;216,1;
Östra Göinge;1256;Skåne län;12;Samtliga;186;61,8;68,8;200,6;71,9;80,0;207,7;
Östra Göinge;1256;Skåne län;12;Kommunal;175;61,1;68,0;198,6;71,8;79,9;206,1;
Östra Göinge;1256;Skåne län;12;Enskild;11;..;..;228,2;..;..;228,2;
Överkalix;2513;Norrbottens län;25;Samtliga;33;75,8;84,8;223,5;78,1;~100;227,8;
Överkalix;2513;Norrbottens län;25;Kommunal;25;68,0;80,0;212,3;70,8;~100;217,6;
Överkalix;2513;Norrbottens län;25;Enskild;..;..;..;..;..;..;..;
Övertorneå;2518;Norrbottens län;25;Samtliga;63;71,4;74,6;216,0;74,6;78,0;215,5;
Övertorneå;2518;Norrbottens län;25;Kommunal;47;63,8;68,1;204,9;67,4;72,1;204,0;
Övertorneå;2518;Norrbottens län;25;Enskild;16;93,8;~100;246,4;93,8;~100;246,4;

Rapportbeskrivning och definitioner etc.  

Samtliga uppgifter utom totalen för antal elever, avser elever med betyg enligt det mål- och kunskapsrelaterade betygssystemet. Uppgifterna avser betyg före prövning.
Om resultatet är färre än 10 elever, dubbelprickas den och två prickar (..) visas istället för utfall. Om uppgift saknas visas en prick (.) istället för utfall.

I sammanställningen av samtliga elever ingår elever som har okänd bakgrund. De saknar uppgift om personnummer, tex om de ännu inte blivit folkbokförda i Sverige.
 

Antal elever;Antal elever som har avslutat årskurs 9, dvs elever med slutbetyg såväl från det mål och kunskapsrelaterade betygssystemet som andra bedömningssystem.;
;Elever som saknar betyg i alla ämnen, dvs elever som saknar slutbetyg ingår.;
Andel (%) som uppnått kunskapskraven i alla ämnen;Andel elever med godkänt betyg i alla ämnen som ingått i elevens utbildning. Andelen beräknas av de elever som fått eller skulle ha fått betyg enligt det ;
;mål- och kunskapsrelaterade betygssystemet (elever som saknar godkänt betyg i alla ämnen ingår).;
Andel (%) behörig yrkesprog.;Andel elever som är behöriga att söka till yrkesprogram. För att en elev ska vara behörig krävs godkänt betyg i ämnena svenska/svenska som andraspråk, ;
;engelska och matematik samt i 5 ytterligare ämnen, totalt 8 ämnen. Andelen beräknas av de elever som fått eller skulle ha fått betyg enligt det ;
;mål och kunskapsrelaterade betygssystemet (elever som saknar godkänt betyg i alla ämnen ingår). ;
;Observera att om antalet EJ behöriga är 1-4, så visas andelen behöriga som ~100.;
Genomsnittligt meritvärde (17);Meritvärdet utgörs av summan av betygsvärdena för de 17 bästa betygen i elevens slutbetyg (E=10, D=12.5, C=15, B=17.5 och A=20). Det möjliga maxvärdet för varje ;
;enskild elev är 340 poäng. Det genomsnittliga meritvärdet beräknas för de elever som fått lägst betyg E i minst ett ämne. Elevernas sammanlagda poäng divideras ;
;med antal elever som fått lägst betyg E i minst ett ämne. Elever som saknar godkänt betyg i alla ämnen, dvs elever som saknar slutbetyg, ingår ej.;



